Name,Weight,Value,PrimaryEffect,SecondaryEffect,TertiaryEffect,QuaternaryEffect
Kresh Fiber,0.1,1,Restore Attribute,Fortify Attribute,Drain Magicka,Drain Attribute
Kwama Cuttle,0.1,2,Resist Poison,Drain Fatigue,Water Breathing,Water Breathing
Lloramor Spines,1,1,Spell Absorption,Invisibility,Poison,Detect Enchantment
Marshmerrow,0.1,1,Restore Health,Detect Enchantment,Drain Attribute,Drain Fatigue
Meadow Rye,1,1,Fortify Attribute,Damage Health,Restore Attribute,Drain Attribute
Moon Sugar,0.1,50,Fortify Attribute,Dispel,Drain Attribute,Drain Attribute
Muck,0.1,1,Drain Attribute,Detect Key,Drain Attribute,Cure Common Disease
Netch Leather,1,1,Fortify Attribute,Fortify Attribute,Drain Attribute,Cure Paralyzation
Nirthfly Stalks,1,1,Damage Health,Fortify Attribute,Restore Attribute,Drain Attribute
Noble Sedge Flowers,1,1,Damage Health,Restore Attribute,Poison,Fortify Attribute
Pearl,0.2,100,Drain Attribute,Dispel,Water Breathing,Resist Common Disease
Racer Plumes,0.1,20,Drain Attribute,Levitate,,
Rat Meat,1,1,Drain Magicka,Paralyze,Cure Poison,Resist Poison
Raw Ebony,10,200,Drain Attribute,Cure Poison,Frost Shield,Restore Attribute
Raw Glass,2,200,Drain Attribute,Drain Attribute,Drain Attribute,Fire Shield
Raw Glass,2,200,Drain Attribute,Drain Attribute,Drain Attribute,Fire Shield
Raw Stalhrim,5,300,Resist Frost,Frost Damage,Paralyze,Restore Health
Red Lichen,0.1,25,Drain Attribute,Light,Cure Common Disease,Drain Magicka
Resin,0.1,10,Restore Health,Restore Attribute,Burden,Resist Common Disease
Roobrush,0.1,1,Drain Attribute,Fortify Attribute,Drain Health,Cure Poison
Ruby,0.2,200,Drain Health,Feather,Restore Attribute,Drain Attribute
Luminous Russula,0.2,1,Water Breathing,Drain Fatigue,Poison,
Saltrice,0.1,1,Restore Fatigue,Fortify Magicka,Drain Attribute,Restore Health
Scales,0.2,2,Drain Attribute,Water Walking,Restore Attribute,Swift Swim
Scamp Skin,0.1,10,Drain Magicka,Cure Paralyzation,Restore Attribute,Restore Attribute
Scathecraw,0.1,2,Drain Attribute,Cure Poison,Drain Health,Restore Attribute
Scrap Metal,10,20,Drain Health,Lightning Shied,Resist Shock,Restore Attribute
Scrib Cabbage,1,1,Drain Attribute,Damage Health,Restore Attribute,Fortify Attribute
Scrib Jelly,0.1,10,Fortify Attribute,Cure Poison,Cure Blight Disease,Restore Attribute
Meteor Slime,0.1,10,Fortify Attribute,Cure Poison,Cure Blight Disease,Restore Attribute
Scrib Jerky,0.2,5,Restore Fatigue,Fortify Fatigue,Burden,Swift Swim
Scuttle,0.1,10,Restore Fatigue,Fortify Fatigue,Feather,Telekinesis
Shalk Resin,0.1,50,Drain Fatigue,Fortify Health,Drain Attribute,Fortify Attribute
Sload Soap,0.1,50,Drain Attribute,Fortify Attribute,Fire Shield,Restore Attribute
Snow Bear Pelt,1,2,Drain Fatigue,Fortify Attribute,Resist Common Disease,Night Eye
Snow Wolf Pelt,1,2,Drain Fatigue,Fortify Attribute,Resist Common Disease,Night Eye
Stoneflower Petals,0.1,1,Restore Attribute,Fortify Magicka,Drain Attribute,Fortify Attribute
Sweetpulp,1,1,Paralyze,Levitate,Resist Paralysis,Restore Health
Timsa-Come-By flowers,1,1,Dispel,Resist Paralysis,Drain Magicka,Restore Attribute
Trama Root,0.1,10,Restore Attribute,Levitate,Paralyze,Drain Attribute
Treated Bittergreen Petals,0.1,10,Restore Attribute,Drain Magicka,Paralyze,Invisibility
Heart of the Udyrfrykte,5,300,Restore Magicka,Fortify Attribute,Drain Attribute,Night Eye
Vampire Dust,0.1,500,Fortify Health,Fortify Attribute,Spell Absorption,Vampirism
Void Salts,0.1,100,Restore Magicka,Spell Absorption,Paralyze,Drain Attribute
Wickwheat,0.1,1,Restore Health,Fortify Attribute,Paralyze,Damage Attribute
Willow Anther,0.1,10,Drain Attribute,Frost Shield,Cure Common Disease,Cure Paralyzation
Heart of the Wolf,1,100,Restore Magicka,Fortify Attribute,Drain Attribute,Night Eye
Wolf Pelt,1,2,Drain Fatigue,Fortify Attribute,Resist Common Disease,Night Eye
Wolfsbane Petals,0.1,5,Restore Attribute,Invisibility,Drain Attribute,Drain Magicka
Poison,0.1,0,Weakness to Poison,Damage Health,Damage Fatigue,Poison
