Name,Weight,Value,PrimaryEffect,SecondaryEffect,TertiaryEffect,QuaternaryEffect
Elves Ear,0.1,10,Restore Magicka,Weakness to Frost,Fortify Marksman,Resist Fire
Emperor Parasol Moss,0.25,1,Damage Health,Fortify Magicka,Regenerate Health,Fortify Two-Handed
Eye of Sabre Cat,0.1,2,Restore Stamina,Damage Magicka,Ravage Health,Restore Health
Falmer Ear,0.2,10,Damage Health,Frenzy,Resist Poison,Fortify Lockpicking
Farengar's Frost Salt,0.25,100,Weakness to Fire,Resist Frost,Restore Magicka,Fortify Conjuration
Felsaad Tern Feathers,0.1,15,Restore Health,Fortify Light Armor,Cure Disease,Resist Magic
Fine-Cut Void Salts,0.2,125,Weakness to Shock,Resist Magic,Damage Health,Fortify Magicka
Fire Salts,0.3,50,Weakness to Frost,Restore Magicka,Resist Fire,Regenerate Magicka
Fly Amanita,0.1,2,Resist Fire,Frenzy,Fortify Two-Handed,Regenerate Stamina
Frost Mirriam,0.1,1,Resist Frost,Fortify Sneak,Ravage Magicka,Damage Stamina Regen
Frost Salts,0.3,100,Weakness to Fire,Resist Frost,Restore Magicka,Fortify Conjuration
Garlic,0.3,1,Resist Poison,Fortify Stamina,Regenerate Magicka,Regenerate Health
Giant Lichen,0.3,5,Ravage Health,Weakness to Poison,Weakness to Shock,Restore Magicka
Gleamblossom,0.1,5,Resist Magic,Fear,Regenerate Health,Paralysis
Giant's Toe,1,20,Damage Stamina,Fortify Carry Weight,Fortify Health,Damage Stamina Regen
Glow Dust,0.5,20,Damage Magicka,Fortify Destruction,Damage Magicka Regen,Resist Shock
Glowing Mushroom,0.2,5,Resist Shock,Fortify Destruction,Fortify Smithing,Fortify Health
Grass Pod,0.1,1,Resist Poison,Ravage Magicka,Fortify Alteration,Restore Magicka
Hagraven Claw,0.3,20,Resist Magic,Lingering Damage Magicka,Fortify Enchanting,Fortify Barter
Hagraven Feathers,0.1,20,Damage Magicka,Frenzy,Fortify Conjuration,Weakness to Shock
Hanging Moss,0.3,1,Damage Magicka,Damage Magicka Regen,Fortify Health,Fortify One-Handed
Hawk Beak,0.3,15,Restore Stamina,Resist Frost,Fortify Carry Weight,Resist Shock
Hawk Feathers,0.1,15,Cure Disease,Fortify Light Armor,Fortify One-Handed,Fortify Sneak
Hawk's Egg,0.5,5,Resist Magic,Damage Magicka Regen,Waterbreathing,Lingering Damage Stamina
Histcarp,0.3,6,Restore Stamina,Fortify Magicka,Damage Stamina Regen,Waterbreathing
Honeycomb,1,5,Restore Stamina,Fortify Block,Fortify Light Armor,Ravage Stamina
Human Flesh,0.3,1,Damage Health,Paralysis,Restore Magicka,Fortify Sneak
Human Heart,1,0,Damage Health,Damage Magicka Regen,Damage Magicka,Frenzy
Ice Wraith Teeth,0.3,30,Weakness to Frost,Fortify Heavy Armor,Invisibility,Weakness to Fire
Imp Stool,0.3,0,Damage Health,Paralysis,Lingering Damage Health,Restore Health
Jarrin Root,0.5,10,Damage Health,Damage Stamina,Damage Magicka,Damage Magicka Regen
Jazbay Grapes,0.2,1,Weakness to Magic,Fortify Magicka,Regenerate Magicka,Ravage Health
Juniper Berries,0.1,1,Weakness to Fire,Regenerate Health,Fortify Marksman,Damage Stamina Regen
Large Antlers,0.1,2,Restore Stamina,Fortify Stamina,Slow,Damage Stamina Regen
Lavender,0.1,1,Resist Magic,Fortify Stamina,Ravage Magicka,Fortify Conjuration
Luna Moth Wing,0.1,5,Damage Magicka,Fortify Light Armor,Regenerate Health,Invisibility
Moon Sugar,0.3,50,Weakness to Fire,Resist Frost,Restore Magicka,Regenerate Magicka
Mora Tapinella,0.3,4,Restore Magicka,Lingering Damage Health,Regenerate Stamina,Fortify Illusion
Mudcrab Chitin,0.3,2,Restore Stamina,Cure Disease,Resist Poison,Resist Fire
Niamira's Rot,0.3,0,Damage Magicka,Fear,Fortify Lockpicking,Regenerate Health
Netch Jelly,0.5,20,Paralysis,Fortify Carry Weight,Restore Stamina,Fear
Nightshade,0.1,8,Damage Health,Damage Magicka Regen,Lingering Damage Stamina,Fortify Destruction
Nirnroot,0.2,10,Damage Health,Damage Stamina,Invisibility,Resist Magic
Nordic Barnacle,0.2,5,Damage Magicka,Waterbreathing,Regenerate Health,Fortify Pickpocket
Orange Dartwing,0.1,1,Restore Stamina,Ravage Magicka,Fortify Pickpocket,Lingering Damage Health
Pearl,0.1,2,Restore Stamina,Restore Magicka,Fortify Block,Resist Shock
Pine Thrush Egg,0.5,2,Restore Stamina,Fortify Lockpicking,Weakness to Poison,Resist Shock
Poison Bloom,0.25,5,Damage Health,Slow,Fortify Carry Weight,Fear
Powdered Mammoth Tusk,0.1,2,Restore Stamina,Weakness to Fire,Fortify Sneak,Fear
Purple Mountain Flower,0.1,2,Restore Stamina,Fortify Sneak,Lingering Damage Magicka,Resist Frost
Red Mountain Flower,0.1,2,Restore Magicka,Ravage Magicka,Fortify Magicka,Damage Health
River Betty,0.3,15,Damage Health,Fortify Alteration,Slow,Fortify Carry Weight
Rock Warbler Egg,0.5,2,Restore Health,Fortify One-Handed,Damage Stamina,Weakness to Magic
Sabre Cat Tooth,0.1,2,Restore Stamina,Fortify Heavy Armor,Fortify Smithing,Weakness to Poison
Salmon Roe,0.2,5,Restore Stamina,Waterbreathing,Fortify Magicka,Regenerate Magicka
Salt Pile,0.2,2,Weakness to Magic,Fortify Restoration,Slow,Regenerate Magicka
Scaly Pholiata,0.3,4,Weakness to Magic,Fortify Illusion,Regenerate Stamina,Fortify Carry Weight
Scathecraw,0.1,1,Ravage Health,Ravage Stamina,Ravage Magicka,Lingering Damage Health
Silverside Perch,0.3,15,Restore Stamina,Damage Stamina Regen,Ravage Health,Resist Frost
Simon Rodayne's Heart,1,0,Damage Health,Damage Magicka,Damage Magicka Regen,Frenzy
Skeever Tail,0.2,3,Damage Stamina Regen,Ravage Health,Damage Health,Fortify Light Armor
Slaughterfish Egg,0.2,3,Resist Poison,Fortify Pickpocket,Lingering Damage Health,Fortify Stamina
Slaughterfish Scales,0.1,3,Resist Frost,Lingering Damage Health,Fortify Heavy Armor,Fortify Block
Small Antlers,0.1,2,Weakness to Poison,Fortify Restoration,Lingering Damage Stamina,Damage Health
Small Pearl,0.1,2,Restore Stamina,Fortify One-Handed,Fortify Restoration,Resist Frost
Snowberries,0.1,4,Resist Fire,Fortify Enchanting,Resist Frost,Resist Shock
Spawn Ash,0.1,20,Ravage Stamina,Resist Fire,Fortify Enchanting,Ravage Magicka
Spider Egg,0.2,5,Damage Stamina,Damage Magicka Regen,Fortify Lockpicking,Fortify Marksman
Spriggan Sap,0.2,15,Damage Magicka Regen,Fortify Enchanting,Fortify Smithing,Fortify Alteration
Swamp Fungal Pod,0.5,3,Resist Shock,Lingering Damage Magicka,Paralysis,Restore Health
Taproot,0.5,15,Weakness to Magic,Fortify Illusion,Regenerate Magicka,Restore Magicka
Thistle Branch,0.1,1,Resist Frost,Ravage Stamina,Resist Poison,Fortify Heavy Armor
Torchbug Thorax,0.1,1,Restore Stamina,Lingering Damage Magicka,Weakness to Magic,Fortify Stamina
Trama Root,0.2,1,Weakness to Shock,Fortify Carry Weight,Damage Magicka,Slow
Troll Fat,1,15,Resist Poison,Fortify Two-Handed,Frenzy,Damage Health
Tundra Cotton,0.1,1,Resist Magic,Fortify Magicka,Fortify Block,Fortify Barter
Vampire Dust,0.2,25,Invisibility,Regenerate Health,Restore Magicka,Cure Disease
Void Salts,0.2,125,Weakness to Shock,Resist Magic,Damage Health,Fortify Magicka
Wheat,0.1,5,Restore Health,Fortify Health,Damage Stamina Regen,Lingering Damage Magicka
White Cap,0.3,0,Weakness to Frost,Fortify Heavy Armor,Restore Magicka,Ravage Magicka
Wisp Wrappings,0.1,2,Restore Stamina,Fortify Destruction,Fortify Carry Weight,Resist Magic
Yellow Mountain Flower,0.1,2,Resist Poison,Fortify Restoration,Fortify Health,Damage Stamina Regen
